Affiliation,Percentage of authors,Authors
(unknown),16.61%,2201
SEC,0.01%,1
SUN,0.01%,1
Sony,0.01%,1
Cornell University,0.01%,1
Hitachi,0.01%,1
(deceased),0.01%,1
* Pending affiliation change.,0.01%,1
-,0.02%,2
.,0.01%,1
022China Mobile,0.01%,1
1,0.01%,1
1-4-5.net,0.01%,1
17beta,0.01%,1
1998-09-06,0.01%,1
1998-09-25,0.01%,1
2,0.01%,1
20C,0.01%,1
3Com,0.01%,1
3Com Corporation,0.01%,1
3NLab Belgium Reseach Center,0.01%,1
3rd,0.01%,1
3xA Security,0.01%,1
4a2e.online,0.01%,1
6connect,0.01%,1
8x8,0.01%,1
"8x8, Inc. / Jitsi",0.01%,1
A&N Associates,0.01%,1
A-L,0.01%,1
A.,0.01%,1
A. Ayyanger,0.01%,1
A. Ballardie,0.01%,1
A. Banchs,0.01%,1
A. Garcia-Martinez,0.01%,1
A. Kumar,0.01%,1
A. Lindem,0.02%,2
A. Liu,0.01%,1
A. Melnikov,0.01%,1
A. Olivereau,0.02%,2
A. Paraschiv,0.01%,1
A. Sappia,0.01%,1
A. SERHROUCHNI,0.01%,1
A. Sreekantiah,0.01%,1
A. T. Campbell,0.01%,1
A.L. Digital,0.01%,1
A9,0.02%,2
AAA-sec,0.01%,1
Aaaya,0.01%,1
AAB,0.01%,1
AADS,0.01%,1
Aalborg University,0.02%,3
Aalto,0.01%,1
Aalto University,0.13%,17
Aalto University/Comnet,0.01%,1
Aalyria Technologies,0.02%,2
AAMSX,0.01%,1
AaronSw.com,0.01%,1
ABC software,0.01%,1
ABDK Consulting,0.01%,1
Abdus Salam ICTP,0.01%,1
Abhay Roy,0.03%,4
AbiSource,0.01%,1
ABN AMRO Bank,0.01%,1
ABNW,0.01%,1
Abratech Corp.,0.01%,1
Academ Consulting Services,0.01%,1
Acano,0.01%,1
ACC,0.01%,1
Accedian Networks,0.01%,1
Accelight,0.01%,1
Accilent Corp.,0.01%,1
Accton Technology Corporation,0.01%,1
Accurate Info. Sys.,0.01%,1
Accurate Information Systems,0.01%,1
acert.io,0.01%,1
ACI,0.01%,1
