Citations,Percentage of authors,Authors
7368,0.01%,Mohamed Boucadair
5018,0.01%,Hannes Tschofenig
3786,0.01%,Donald E. Eastlake 3rd
3540,0.01%,Zhenbin Li
3443,0.01%,Qin Wu
3317,0.01%,Philip J. Nesser II
3314,0.01%,Jonathan Rosenberg
3295,0.01%,Dan Wing
3088,0.01%,Adrian Farrel
3087,0.01%,Henning Schulzrinne
3055,0.01%,Carsten Bormann
2981,0.01%,Jeff Tantsura
2942,0.01%,Susan Hares
2891,0.01%,Pascal Thubert
2868,0.01%,Clarence Filsfils
2817,0.01%,Tirumaleswar Reddy.K
2787,0.01%,Alexey Melnikov
2762,0.01%,Fred Baker
2717,0.01%,Paul E. Hoffman
2614,0.01%,Fred Templin
2592,0.01%,Greg Mirsky
2554,0.01%,Xufeng Liu
2550,0.01%,Mach Chen
2476,0.01%,Michael Richardson
2471,0.01%,Keyur Patel
2449,0.01%,Russ Housley
2445,0.01%,Carlos Pignataro
2439,0.01%,Jari Arkko
2437,0.01%,Fernando Gont
2427,0.01%,Dr. Bernard D. Aboba
2420,0.01%,Brian E. Carpenter
2381,0.01%,Martin Thomson
2343,0.01%,Benoît Claise
2319,0.01%,Cullen Fluffy Jennings
2233,0.01%,Sheng Jiang
2203,0.01%,Peter Saint-Andre
2187,0.01%,Dhruv Dhody
2159,0.01%,Stewart Bryant
2126,0.01%,Behcet Sarikaya
2072,0.01%,Oscar Gonzalez de Dios
2050,0.01%,Dr. John C. Klensin
2043,0.01%,Gorry Fairhurst
2036,0.01%,Magnus Westerlund
2022,0.01%,"Gyan Mishra 
 John Drake"
1992,0.01%,Luis Contreras
1924,0.01%,Eric Rescorla
1916,0.01%,Thomas Nadeau
1914,0.01%,Dave Thaler
1905,0.01%,Jie Dong
1856,0.01%,Sean Turner
1829,0.01%,Zhaohui (Jeffrey) Zhang
1813,0.01%,Bruno Decraene
1776,0.01%,Lou Berger
1769,0.01%,Jürgen Schönwälder
1756,0.01%,Stefano Previdi
1754,0.01%,Daniele Ceccarelli
1741,0.01%,Jouni Korhonen
1732,0.01%,Acee Lindem
1715,0.01%,Xiaohu Xu
1696,0.01%,Young Lee
1680,0.01%,Gonzalo Camarillo
1677,0.01%,Jon Peterson
1675,0.01%,Al Morton
1661,0.01%,Ali Sajassi
1643,0.01%,Dino Farinacci
1627,0.01%,Colin Perkins
1620,0.01%,Andy Bierman
1606,0.01%,Wim Henderickx
1596,0.01%,Glen Zorn
1591,0.01%,Suresh Krishnan
1589,0.01%,Daniel King
1562,0.01%,Christian Jacquenet
1543,0.01%,"Charles E. Perkins 
 Eric C. Rosen"
1476,0.01%,Yakov Rekhter
1447,0.01%,Rakesh Gandhi
1432,0.01%,Tarek Saad
1423,0.01%,Ron Bonica
1421,0.01%,Robert Moskowitz
1404,0.01%,Mark Nottingham
1400,0.01%,Chongfeng Xie
1396,0.01%,Bob Briscoe
1367,0.01%,Erik Nordmark
1343,0.01%,Tina Tsou (Ting ZOU)
1336,0.01%,Keith McCloghrie
1327,0.01%,Robert Raszuk
1317,0.01%,Dacheng Zhang
1315,0.01%,John Preuß Mattsson
1314,0.01%,Zafar Ali
1311,0.01%,Vishnu Pavan Beeram
1301,0.01%,Siva Sivabalan
1299,0.01%,Daniel Voyer
1289,0.01%,"Kireeti Kompella 
 Michael B. Jones"
1284,0.01%,Christian Huitema
1276,0.01%,Randy Bush
1275,0.01%,Huaimo Chen
1274,0.01%,George Swallow
1267,0.01%,Ketan Talaulikar
1264,0.01%,Vasseur Jp
1260,0.01%,Andrew G. Malis
1259,0.01%,Marcelo Bagnulo
1258,0.01%,Toerless Eckert
1249,0.01%,Tianran Zhou
1246,0.01%,Rohan Mahy
1241,0.01%,Giuseppe Fioccola
1227,0.01%,Luyuan Fang
1223,0.01%,"Kent Watsen 
 Stephane Litkowski"
1220,0.01%,Loa Andersson
1209,0.01%,"Lucy Yong 
 Sri Gundavelli"
1208,0.01%,Brian Trammell
1207,0.01%,Christer Holmberg
1205,0.01%,Peter Psenak
1201,0.01%,Weiqiang Cheng
1172,0.01%,Aijun Wang
1169,0.01%,Chris Newman
1168,0.01%,David Meyer
1149,0.01%,Tim Chown
1145,0.01%,Jorge Rabadan
1141,0.01%,Joerg Ott
1133,0.01%,Luay Jalil
1120,0.01%,Dave Crocker
1117,0.01%,Dr. Joseph D. Touch
1114,0.01%,Cheng Li
1107,0.01%,Ran Chen
1102,0.01%,Harald T. Alvestrand
1101,0.01%,James Polk
1093,0.01%,"Warren ""Ace"" Kumari"
1090,0.01%,Yisong Liu
1088,0.02%,"Richard Barnes 
 Sam Aldrin 
 Yingzhen Qu"
1083,0.01%,IJsbrand Wijnands
1082,0.01%,Marco Tiloca
1079,0.01%,Yizhou Li
1075,0.01%,"Lars Eggert 
 Stuart Cheshire"
1074,0.01%,Gonzalo Salgueiro
1066,0.01%,"Daniel Migault 
 Vishwas Manral"
1064,0.01%,Eliot Lear
1063,0.01%,Tommy Pauly
1061,0.01%,Dimitri Papadimitriou
1060,0.01%,Haomian Zheng
1053,0.01%,Roni Even
1052,0.01%,Reinaldo Penno
1049,0.01%,Yiu Lee
1042,0.01%,Shraddha Hegde
1041,0.01%,Göran Selander
1040,0.01%,Pat Calhoun
1037,0.01%,"Henk Birkholz 
 Shaofu Peng"
1035,0.01%,"Alexander Clemm 
 Murray Kucherawy"
1031,0.01%,Stephen Farrell
1029,0.01%,Christopher A. Wood
1028,0.01%,David Ward
1024,0.01%,Sami Boutros
1021,0.01%,François Le Faucheur
1016,0.01%,Wesley Eddy
1014,0.01%,Jim Schaad
1011,0.01%,Bo Wu
1009,0.01%,Zheng Zhang
1005,0.01%,Julian Reschke
1003,0.01%,Russ White
1001,0.01%,"Dan Romascanu 
 Michael Tüxen"
1000,0.01%,Satoru Matsushima
995,0.01%,"Scott Hollenbeck 
 Shunwan Zhuang"
986,0.01%,Carlos J. Bernardos
982,0.01%,Geoff Huston
981,0.01%,Igor Bryskin
980,0.01%,Ari Keränen
974,0.01%,"Les Ginsberg 
 Tal Mizrahi"
973,0.01%,"Rahul Aggarwal 
 Shuping Peng"
969,0.01%,Hannes Gredler
964,0.01%,DENG Hui
963,0.01%,Stephen Kent
955,0.01%,Tom Taylor
952,0.01%,Linda Dunbar
945,0.01%,Jaehoon Paul Jeong
944,0.01%,"Alan Johnston 
 Ted Lemon"
931,0.01%,Ralph Droms
927,0.01%,Tom Herbert
922,0.01%,Fatai Zhang
920,0.01%,Thomas Graf
918,0.01%,Xing Li
911,0.01%,Frank Xia
908,0.01%,"Kurt Zeilenga 
 Olivier Bonaventure"
904,0.01%,Himanshu C. Shah
903,0.01%,Nabil Bitar
900,0.01%,Syed Kamran Raza
898,0.01%,Italo Busi
896,0.01%,Thomas Fossati
895,0.01%,Uma Chunduri
891,0.01%,"Brian Rosen 
 Ole Trøan"
890,0.01%,Jordi Palet Martinez
886,0.01%,Diego Lopez
885,0.01%,Nicolás Williams
884,0.01%,Peter Van der Stok
883,0.01%,Mike McBride
882,0.01%,Changwang Lin
869,0.01%,Tony Li
864,0.01%,Phillip Hallam-Baker
860,0.01%,Ran Atkinson
857,0.01%,Mahesh Jethanandani
854,0.01%,Michael Welzl
851,0.01%,Ali C. Begen
847,0.01%,Xuesong Geng
842,0.01%,Alan DeKok
840,0.01%,Matthew Bocci
839,0.01%,Zhenqiang Li
838,0.01%,Luigi Iannone
837,0.01%,Hadriel Kaplan
828,0.01%,Andy Newton
827,0.01%,Martin Björklund
824,0.01%,Mark J. Handley
820,0.01%,"Sergio Belotti 
 Stig Venaas"
818,0.01%,John A. Loughney
814,0.01%,"Mirja Kühlewind 
 Suhas Nandakumar"
802,0.01%,Mingui Zhang
799,0.01%,Bing Liu
797,0.01%,"Jeffrey Haas 
 Jim Uttaro"
796,0.01%,Simon Josefsson
793,0.01%,Gang Chen
785,0.01%,"Jianping Wu 
 Marc Blanchet"
784,0.01%,Roy T. Fielding
783,0.01%,Francesca Palombini
779,0.01%,"Larry M Masinter 
 Salvatore Loreto"
778,0.01%,Quintin Zhao
774,0.01%,"John Bradley 
 Will (Shucheng) LIU"
772,0.01%,Samier Barguil
771,0.01%,"Qiong Sun 
 Randall R. Stewart"
770,0.01%,David L. Black
768,0.01%,"Joseph A. Salowey 
 Reshad Rahman"
767,0.01%,Manav Bhatia
766,0.01%,Bin Wen
760,0.02%,"Bob Hinden 
 Miguel Angel García 
 Radia Perlman"
757,0.01%,Y. Richard Yang
755,0.01%,Yong Cui
754,0.01%,David McGrew
752,0.01%,Xian Zhang
750,0.01%,Spencer Dawkins
747,0.01%,Nagendra Kumar Nainar
742,0.01%,Phil Hunt
741,0.01%,Adam Roach
740,0.01%,Sally Floyd
738,0.01%,"Rajiv Asati 
 Tony Przygienda"
733,0.01%,Ian Farrer
730,0.01%,"James Winterbottom 
 Jonathan Lennox"
721,0.01%,Margaret Cullen
719,0.01%,Joel M. Halpern
716,0.01%,"Pekka Savola 
 Varun Singh"
714,0.01%,"Dr. Marshall T. Rose 
 Dr. Thomas Narten"
713,0.01%,Brian Haberman
712,0.01%,"Bernie Volz 
 Justin Uberti"
710,0.01%,Juergen Quittek
707,0.01%,Luca Martini
702,0.01%,Mary Barnes
699,0.01%,Gabriel Montenegro
698,0.01%,Joe Abley
697,0.01%,Mankamana Prasad Mishra
693,0.01%,Yaron Sheffer
692,0.01%,Emile Stephan
691,0.01%,Jean-Louis Le Roux
689,0.01%,Liang Xia
683,0.01%,Marc Petit-Huguenin
681,0.01%,Don Fedyk
678,0.02%,"Carles Gomez 
 Douglas Otis 
 Kent Leung"
676,0.01%,"Cyrus Daboo 
 Job Snijders"
673,0.01%,Quan Xiong
672,0.01%,David Noveck
669,0.01%,Pasi Eronen
665,0.01%,Victor Lopez
664,0.01%,Dirk Trossen
663,0.01%,Eric Burger
662,0.01%,"Fengwei Qin 
 Tomek Mrugalski"
661,0.01%,Martin Duke
659,0.01%,"David Schinazi 
 Laurent Toutain"
656,0.01%,Thomas H. Clausen
