Year,Cisco Systems,Huawei Technologies,Huawei,Ericsson,Google,Juniper Networks,Nokia,Microsoft
1989,0,0,0,0,0,0,0,0
1990,1,0,0,0,0,0,0,0
1991,1,0,0,0,0,0,0,0
1992,4,0,0,0,0,0,0,0
1993,5,0,0,0,0,0,0,0
1994,12,0,0,0,0,0,0,1
1995,21,0,0,1,0,0,0,4
1996,39,0,0,2,0,3,0,14
1997,58,0,0,4,0,6,4,25
1998,73,0,0,6,0,10,7,37
1999,101,0,0,18,0,13,9,44
2000,147,0,0,27,1,13,28,29
2001,172,2,1,38,0,19,33,27
2002,165,2,2,34,1,24,43,26
2003,185,2,2,34,2,29,46,23
2004,196,1,4,37,4,29,47,24
2005,191,10,15,45,11,35,42,23
2006,214,25,23,53,15,40,40,18
2007,233,34,20,49,14,38,36,19
2008,245,44,31,59,20,41,34,17
2009,224,57,52,73,25,47,21,14
2010,252,65,63,69,39,55,20,18
2011,269,77,72,76,58,62,20,17
2012,277,93,82,72,64,57,20,33
2013,293,120,98,71,71,56,16,22
2014,302,109,109,88,67,61,28,33
2015,291,100,112,99,89,73,42,31
2016,269,114,101,95,97,72,53,26
2017,234,120,112,71,88,65,47,22
2018,219,105,128,52,87,66,38,12
2019,209,94,114,49,74,65,39,21
2020,186,80,82,53,72,61,35,17
2021,170,79,79,43,76,63,35,18
2022,162,87,82,37,79,58,36,22
2023,164,101,96,32,74,58,34,28
