Pages,Percentage of RFCs,RFCs
0,0.05%,5
1,1.77%,166
2,1.82%,171
3,1.83%,172
4,2.51%,235
5,3.25%,305
6,3.96%,371
7,4.22%,396
8,4.20%,394
9,4.02%,377
10,4.03%,378
11,3.75%,352
12,3.54%,332
13,3.11%,292
14,3.05%,286
15,2.73%,256
16,2.63%,247
17,2.67%,250
18,2.37%,222
19,2.51%,235
20,2.23%,209
21,1.95%,183
22,2.08%,195
23,2.08%,195
24,1.70%,159
25,1.61%,151
26,1.38%,129
27,1.32%,124
28,1.25%,117
29,1.25%,117
30,1.13%,106
31,1.11%,104
32,1.00%,94
33,0.93%,87
34,0.91%,85
35,0.96%,90
36,0.79%,74
37,0.71%,67
38,0.74%,69
39,0.62%,58
40,0.77%,72
41,0.66%,62
42,0.59%,55
43,0.63%,59
44,0.49%,46
45,0.44%,41
46,0.47%,44
47,0.35%,33
48,0.31%,29
49,0.36%,34
50,0.38%,36
51,0.36%,34
52,0.30%,28
53,0.45%,42
54,0.35%,33
55,0.30%,28
56,0.35%,33
57,0.21%,20
58,0.23%,22
59,0.16%,15
60,0.28%,26
61,0.17%,16
62,0.20%,19
63,0.15%,14
64,0.33%,31
65,0.18%,17
66,0.20%,19
67,0.18%,17
68,0.15%,14
69,0.17%,16
70,0.17%,16
71,0.18%,17
72,0.14%,13
73,0.18%,17
74,0.13%,12
75,0.17%,16
76,0.15%,14
77,0.11%,10
78,0.07%,7
79,0.12%,11
80,0.13%,12
81,0.11%,10
82,0.18%,17
83,0.14%,13
84,0.13%,12
85,0.09%,8
86,0.12%,11
87,0.07%,7
88,0.15%,14
89,0.05%,5
90,0.10%,9
91,0.14%,13
92,0.11%,10
93,0.02%,2
94,0.16%,15
95,0.11%,10
96,0.09%,8
97,0.04%,4
98,0.04%,4
99,0.07%,7
100,0.07%,7
101,0.12%,11
102,0.03%,3
103,0.04%,4
104,0.06%,6
105,0.02%,2
106,0.05%,5
107,0.09%,8
108,0.05%,5
109,0.07%,7
110,0.02%,2
111,0.03%,3
112,0.03%,3
113,0.06%,6
114,0.03%,3
115,0.04%,4
116,0.04%,4
117,0.03%,3
118,0.03%,3
119,0.02%,2
120,0.04%,4
121,0.03%,3
122,0.01%,1
123,0.01%,1
124,0.07%,7
125,0.02%,2
126,0.01%,1
127,0.03%,3
128,0.05%,5
129,0.05%,5
130,0.02%,2
131,0.02%,2
132,0.02%,2
133,0.03%,3
134,0.04%,4
135,0.03%,3
136,0.02%,2
137,0.03%,3
138,0.02%,2
139,0.03%,3
140,0.01%,1
141,0.01%,1
142,0.02%,2
143,0.02%,2
144,0.01%,1
145,0.01%,1
147,0.01%,1
148,0.03%,3
149,0.01%,1
150,0.01%,1
151,0.04%,4
152,0.02%,2
154,0.02%,2
155,0.01%,1
157,0.03%,3
158,0.01%,1
160,0.01%,1
162,0.01%,1
163,0.01%,1
164,0.02%,2
165,0.02%,2
167,0.01%,1
168,0.02%,2
169,0.03%,3
170,0.03%,3
171,0.03%,3
172,0.01%,1
173,0.02%,2
174,0.01%,1
175,0.01%,1
176,0.02%,2
177,0.01%,1
179,0.01%,1
182,0.02%,2
184,0.01%,1
188,0.01%,1
189,0.01%,1
192,0.02%,2
194,0.02%,2
210,0.01%,1
211,0.02%,2
212,0.02%,2
213,0.01%,1
216,0.02%,2
217,0.01%,1
218,0.01%,1
221,0.01%,1
224,0.02%,2
226,0.01%,1
230,0.01%,1
244,0.01%,1
257,0.01%,1
269,0.01%,1
275,0.02%,2
290,0.01%,1
295,0.01%,1
304,0.01%,1
318,0.01%,1
323,0.01%,1
326,0.01%,1
365,0.01%,1
517,0.01%,1
560,0.01%,1
617,0.01%,1
